ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"Male",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",45438.852084125174,4386.500782556587,63144,6109.255445647045,539,"Virginia","04000US51"
2,"Female",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",48463.14564708921,1884.472429495344,69689,6411.487101278582,802,"Virginia","04000US51"
2,"Female",2015,"2015",1,"Full-time","412010","Cashiers",24420.647153007107,5466.532454391152,19986,3460.1960187865384,172,"Virginia","04000US51"
2,"Female",2015,"2015",1,"Full-time","291141","Registered nurses",62278.39086147245,3806.1459658536824,51737,5539.8406146182815,533,"Virginia","04000US51"
2,"Female",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",27006.24959568733,5713.78173653555,3710,1494.5627298929764,28,"Virginia","04000US51"
1,"Male",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",50785.94962189797,4231.60703398181,18778,3354.4385814071215,199,"Virginia","04000US51"
1,"Male",2014,"2014",1,"Full-time","412010","Cashiers",24039.287559011387,5750.0506180219445,7202,2081.188633063442,66,"Virginia","04000US51"
1,"Male",2014,"2014",1,"Full-time","291141","Registered nurses",68218.15482444015,16571.7581036903,3617,1475.717158295549,40,"Virginia","04000US51"
1,"Male",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",41245.503238779645,2471.110775994699,60671,5989.679519602311,527,"Virginia","04000US51"
2,"Female",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",48567.57482905344,2316.0316715974204,73561,6581.763300970759,823,"Virginia","04000US51"
2,"Female",2014,"2014",1,"Full-time","412010","Cashiers",23481.285467206773,2798.5156662110076,21971,3626.6175415705216,174,"Virginia","04000US51"
2,"Female",2014,"2014",1,"Full-time","291141","Registered nurses",64825.100727839876,5019.109370140759,46164,5236.813631109057,488,"Virginia","04000US51"
2,"Female",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",29506.20239520958,5734.745267610612,4175,1585.328088379154,37,"Virginia","04000US51"
